Flop,Hand,Weight IP,IP Equity,BET 100% freq,BET 60% freq,BET 31.1% freq,CHECK freq
Qs Ts 9h,KcJh,0.615,88.72,2.80,3.61,91.43,2.16
Qs Ts 9h,KcQh,1.000,72.53,0.87,2.65,82.19,14.28
Qs Ts 9h,KcJs,0.615,90.56,1.47,2.75,90.90,4.88
Qs Ts 9h,Ac3c,1.000,28.05,1.69,8.16,76.18,13.97
Qs Ts 9h,Ac4c,1.000,28.21,1.70,6.41,76.14,15.75
Qs Ts 9h,Ac5c,1.000,28.41,1.40,3.16,81.86,13.58
Qs Ts 9h,Ac6c,1.000,29.87,1.32,2.46,75.22,20.99
Qs Ts 9h,Ac7c,1.000,30.32,1.16,2.17,70.86,25.81
Qs Ts 9h,Ac8c,1.000,38.13,1.13,2.38,93.49,3.00
Qs Ts 9h,Ac9c,1.000,53.33,0.68,1.27,39.55,58.49
Qs Ts 9h,AcTc,1.000,60.04,0.56,1.46,85.07,12.92
Qs Ts 9h,AcJc,1.000,52.22,1.50,4.16,86.79,7.55
Qs Ts 9h,AcQc,1.000,68.06,0.96,3.51,89.39,6.13
Qs Ts 9h,AcKc,1.000,46.41,1.48,6.34,87.87,4.31
Qs Ts 9h,AcTd,0.755,60.04,0.56,1.46,86.03,11.95
Qs Ts 9h,AcJd,1.000,52.22,1.58,4.14,87.22,7.06
Qs Ts 9h,AcQd,1.000,68.03,0.97,3.53,89.01,6.49
Qs Ts 9h,AcKd,1.000,46.41,1.49,3.41,88.25,6.86
Qs Ts 9h,AcTh,0.755,60.21,0.60,1.64,89.41,8.35
Qs Ts 9h,AcJh,1.000,52.31,2.04,4.43,84.04,9.50
Qs Ts 9h,AcQh,1.000,68.10,0.80,3.97,90.41,4.82
Qs Ts 9h,AcKh,1.000,46.54,1.51,3.23,83.48,11.78
Qs Ts 9h,AcJs,1.000,55.09,1.67,4.10,89.40,4.83
Qs Ts 9h,AcKs,1.000,49.85,1.44,4.10,86.29,8.17
Qs Ts 9h,2d2c,0.355,29.10,1.28,2.31,69.28,27.12
Qs Ts 9h,3d3c,0.325,30.59,1.31,2.31,70.91,25.47
Qs Ts 9h,4d4c,0.355,32.10,1.26,2.23,73.87,22.64
Qs Ts 9h,5d5c,0.930,33.93,1.23,2.06,82.27,14.44
Qs Ts 9h,5d4d,0.095,12.19,2.52,6.75,64.19,26.54
Qs Ts 9h,6d6c,1.000,37.73,1.07,1.81,65.14,31.98
Qs Ts 9h,6d5d,0.205,14.01,2.28,3.40,77.00,17.31
Qs Ts 9h,7d7c,1.000,40.18,0.75,1.49,36.21,61.55
Qs Ts 9h,7d6d,0.165,24.19,1.53,2.82,90.87,4.78
Qs Ts 9h,8d8c,1.000,49.00,0.83,1.60,40.80,56.76
Qs Ts 9h,8d7d,0.180,35.69,1.49,7.95,48.47,42.08
Qs Ts 9h,9d9c,1.000,81.77,3.11,6.75,82.66,7.48
Qs Ts 9h,9d7d,0.010,48.39,0.84,1.58,60.68,36.90
Qs Ts 9h,9d8d,0.375,53.96,0.76,1.34,93.77,4.14
Qs Ts 9h,TdTc,1.000,83.06,2.37,5.41,86.84,5.38
Qs Ts 9h,Td8d,0.440,59.47,0.41,0.88,94.71,4.00
Qs Ts 9h,Td9d,1.000,71.41,0.97,2.78,82.71,13.53
Qs Ts 9h,JdJc,1.000,71.69,0.97,2.76,88.45,7.82
Qs Ts 9h,Jd9d,1.000,62.93,1.35,3.40,56.65,38.60
Qs Ts 9h,JdTd,1.000,67.78,0.71,1.46,67.52,30.31
Qs Ts 9h,QdJc,0.350,73.98,0.70,3.32,83.20,12.77
Qs Ts 9h,QdQc,1.000,83.63,2.86,5.08,90.45,1.61
Qs Ts 9h,Qd8d,0.035,66.37,0.14,0.26,95.89,3.71
Qs Ts 9h,Qd9d,1.000,73.65,0.96,2.70,83.13,13.22
Qs Ts 9h,QdTd,1.000,75.25,1.88,4.91,84.29,8.92
Qs Ts 9h,QdJd,1.000,74.02,0.70,2.58,82.57,14.14
Qs Ts 9h,QdJh,0.350,74.11,0.65,0.80,72.67,25.87
Qs Ts 9h,QdJs,0.350,76.24,0.93,3.63,88.04,7.40
Qs Ts 9h,KdTc,0.050,65.42,0.77,2.42,85.61,11.20
Qs Ts 9h,KdJc,0.615,88.53,2.10,5.05,91.75,1.09
Qs Ts 9h,KdQc,1.000,72.45,0.93,2.78,88.01,8.28
Qs Ts 9h,KdKc,1.000,74.59,1.18,4.14,92.79,1.89
Qs Ts 9h,Kd5d,0.205,34.42,1.30,2.17,95.86,0.67
Qs Ts 9h,Kd6d,0.465,35.86,1.30,2.11,86.33,10.26
Qs Ts 9h,Kd7d,0.585,36.23,1.19,1.91,91.61,5.29
Qs Ts 9h,Kd8d,0.790,36.61,1.69,4.86,90.78,2.67
Qs Ts 9h,Kd9d,1.000,59.22,0.92,1.99,52.49,44.59
Qs Ts 9h,KdTd,1.000,65.44,0.76,1.81,82.69,14.74
Qs Ts 9h,KdJd,1.000,88.52,2.10,4.90,91.69,1.31
Qs Ts 9h,KdQd,1.000,72.45,0.93,2.77,88.24,8.06
Qs Ts 9h,KdTh,0.050,65.59,0.70,1.45,36.50,61.36
Qs Ts 9h,KdJh,0.615,88.72,2.80,3.61,91.43,2.16
Qs Ts 9h,KdQh,1.000,72.53,0.87,2.65,82.19,14.29
Qs Ts 9h,KdJs,0.615,90.56,1.47,2.75,90.90,4.88
Qs Ts 9h,AdTc,0.755,60.04,0.56,1.46,86.03,11.95
Qs Ts 9h,AdJc,1.000,52.22,1.58,4.14,87.23,7.06
Qs Ts 9h,AdQc,1.000,68.03,0.97,3.53,89.02,6.48
Qs Ts 9h,AdKc,1.000,46.41,1.49,3.41,88.24,6.86
Qs Ts 9h,AdAc,1.000,67.91,0.80,4.07,76.19,18.94
Qs Ts 9h,Ad3d,1.000,28.05,1.69,8.16,76.18,13.97
Qs Ts 9h,Ad4d,1.000,28.21,1.70,6.41,76.14,15.75
Qs Ts 9h,Ad5d,1.000,28.41,1.40,3.16,81.86,13.58
Qs Ts 9h,Ad6d,1.000,29.87,1.32,2.46,75.23,20.99
Qs Ts 9h,Ad7d,1.000,30.32,1.16,2.17,70.86,25.81
Qs Ts 9h,Ad8d,1.000,38.13,1.13,2.38,93.50,2.99
Qs Ts 9h,Ad9d,1.000,53.33,0.68,1.27,39.57,58.47
Qs Ts 9h,AdTd,1.000,60.04,0.56,1.46,85.05,12.93
Qs Ts 9h,AdJd,1.000,52.22,1.50,4.16,86.79,7.54
Qs Ts 9h,AdQd,1.000,68.06,0.96,3.51,89.40,6.13
Qs Ts 9h,AdKd,1.000,46.41,1.48,6.34,87.87,4.31
Qs Ts 9h,AdTh,0.755,60.21,0.60,1.64,89.41,8.35
Qs Ts 9h,AdJh,1.000,52.31,2.04,4.43,84.05,9.49
Qs Ts 9h,AdQh,1.000,68.10,0.80,3.97,90.41,4.82
Qs Ts 9h,AdKh,1.000,46.54,1.51,3.23,83.47,11.78
Qs Ts 9h,AdJs,1.000,55.09,1.67,4.10,89.40,4.83
Qs Ts 9h,AdKs,1.000,49.85,1.44,4.10,86.28,8.17
Qs Ts 9h,2h2c,0.355,29.21,1.28,2.39,82.12,14.21
Qs Ts 9h,2h2d,0.355,29.21,1.28,2.39,82.12,14.20
Qs Ts 9h,3h3c,0.325,30.71,1.26,2.32,80.57,15.85
Qs Ts 9h,3h3d,0.325,30.71,1.26,2.32,80.57,15.84
Qs Ts 9h,4h4c,0.355,32.25,1.19,2.19,78.48,18.13
Qs Ts 9h,4h4d,0.355,32.25,1.19,2.19,78.49,18.12
Qs Ts 9h,5h5c,0.930,34.01,1.23,2.18,81.69,14.89
Qs Ts 9h,5h5d,0.930,34.01,1.23,2.18,81.69,14.90
Qs Ts 9h,5h4h,0.095,15.92,2.20,11.40,85.99,0.40
Qs Ts 9h,6h6c,1.000,37.78,1.06,1.95,71.95,25.04
Qs Ts 9h,6h6d,1.000,37.78,1.06,1.95,71.95,25.04
Qs Ts 9h,6h5h,0.205,17.64,2.00,17.21,79.25,1.55
Qs Ts 9h,7h7c,1.000,40.23,0.84,1.79,60.74,36.63
Qs Ts 9h,7h7d,1.000,40.23,0.84,1.79,60.73,36.64
Qs Ts 9h,7h6h,0.165,27.40,1.45,9.13,81.66,7.76
Qs Ts 9h,8h8c,1.000,49.09,0.79,1.54,67.17,30.50
Qs Ts 9h,8h8d,1.000,49.09,0.79,1.54,67.17,30.50
Qs Ts 9h,8h7h,0.180,38.31,1.24,2.66,64.80,31.30
Qs Ts 9h,ThTc,1.000,83.11,2.24,4.56,86.00,7.20
Qs Ts 9h,ThTd,1.000,83.11,2.24,4.56,86.00,7.20
Qs Ts 9h,Th8h,0.440,61.30,0.72,2.01,71.18,26.09
Qs Ts 9h,JhJc,1.000,71.81,1.00,1.99,87.69,9.32
Qs Ts 9h,JhJd,1.000,71.81,1.00,1.99,87.70,9.31
Qs Ts 9h,JhTh,1.000,69.16,1.10,2.00,73.93,22.97
Qs Ts 9h,QhJc,0.350,74.09,0.56,1.80,74.32,23.31
Qs Ts 9h,QhQc,1.000,83.75,2.36,4.68,90.24,2.72
Qs Ts 9h,QhJd,0.350,74.09,0.56,1.80,74.32,23.32
Qs Ts 9h,QhQd,1.000,83.75,2.36,4.68,90.24,2.72
Qs Ts 9h,Qh8h,0.035,67.89,0.14,0.17,96.02,3.66
Qs Ts 9h,QhTh,1.000,76.54,1.56,4.32,86.60,7.51
Qs Ts 9h,QhJh,1.000,75.15,0.76,3.88,93.26,2.09
Qs Ts 9h,QhJs,0.350,76.34,0.69,2.59,80.78,15.94
Qs Ts 9h,KhTc,0.050,65.60,0.64,1.48,14.08,83.80
Qs Ts 9h,KhJc,0.615,88.71,2.73,6.86,88.04,2.37
Qs Ts 9h,KhQc,1.000,72.62,0.96,2.43,76.74,19.87
Qs Ts 9h,KhKc,1.000,74.75,1.48,5.02,91.22,2.27
Qs Ts 9h,KhTd,0.050,65.60,0.64,1.48,14.08,83.79
Qs Ts 9h,KhJd,0.615,88.71,2.73,6.86,88.05,2.37
Qs Ts 9h,KhQd,1.000,72.62,0.96,2.43,76.75,19.86
Qs Ts 9h,KhKd,1.000,74.75,1.48,5.02,91.22,2.27
Qs Ts 9h,Kh5h,0.205,37.36,1.44,4.14,80.34,14.08
Qs Ts 9h,Kh6h,0.465,38.73,1.29,2.37,82.67,13.66
Qs Ts 9h,Kh7h,0.585,39.09,1.25,2.87,85.26,10.62
Qs Ts 9h,Kh8h,0.790,39.41,1.44,5.35,85.32,7.88
Qs Ts 9h,KhTh,1.000,67.16,0.69,2.31,92.84,4.17
Qs Ts 9h,KhJh,1.000,89.12,2.48,6.46,89.54,1.51
Qs Ts 9h,KhQh,1.000,73.79,0.72,4.72,93.10,1.47
Qs Ts 9h,KhJs,0.615,90.74,1.87,2.74,86.86,8.53
Qs Ts 9h,AhTc,0.755,60.20,0.60,1.62,73.24,24.54
Qs Ts 9h,AhJc,1.000,52.39,1.55,4.36,81.72,12.37
Qs Ts 9h,AhQc,1.000,68.20,0.96,3.27,86.72,9.05
Qs Ts 9h,AhKc,1.000,46.59,1.69,3.32,75.56,19.43
Qs Ts 9h,AhAc,1.000,68.07,0.78,3.97,77.63,17.61
Qs Ts 9h,AhTd,0.755,60.20,0.60,1.62,73.24,24.53
Qs Ts 9h,AhJd,1.000,52.39,1.55,4.36,81.72,12.37
Qs Ts 9h,AhQd,1.000,68.20,0.96,3.27,86.72,9.05
Qs Ts 9h,AhKd,1.000,46.59,1.69,3.32,75.57,19.42
Qs Ts 9h,AhAd,1.000,68.07,0.78,3.97,77.64,17.61
Qs Ts 9h,Ah3h,1.000,31.50,1.93,7.60,78.56,11.91
Qs Ts 9h,Ah4h,1.000,31.67,1.89,7.26,78.50,12.36
Qs Ts 9h,Ah5h,1.000,31.84,1.87,6.39,77.87,13.88
Qs Ts 9h,Ah6h,1.000,33.22,1.60,5.43,79.14,13.83
Qs Ts 9h,Ah7h,1.000,33.66,1.57,4.88,79.39,14.16
Qs Ts 9h,Ah8h,1.000,41.05,1.36,3.00,88.48,7.16
Qs Ts 9h,AhTh,1.000,62.15,0.43,1.30,75.71,22.56
Qs Ts 9h,AhJh,1.000,54.47,1.28,3.89,92.39,2.44
Qs Ts 9h,AhQh,1.000,69.75,0.52,1.44,88.08,9.96
Qs Ts 9h,AhKh,1.000,49.12,0.56,4.16,92.07,3.22
Qs Ts 9h,AhJs,1.000,55.27,1.68,4.11,88.42,5.79
Qs Ts 9h,AhKs,1.000,50.02,1.55,3.26,82.97,12.23
Qs Ts 9h,2s2c,0.355,32.20,1.64,3.44,90.56,4.36
Qs Ts 9h,2s2d,0.355,32.20,1.64,3.44,90.55,4.37
Qs Ts 9h,2s2h,0.355,32.31,1.49,4.44,90.22,3.85
Qs Ts 9h,3s3c,0.325,33.74,1.80,3.97,91.12,3.12
Qs Ts 9h,3s3d,0.325,33.74,1.80,3.97,91.12,3.12
Qs Ts 9h,3s3h,0.325,33.86,1.59,6.34,89.17,2.91
Qs Ts 9h,4s4c,0.355,35.32,1.79,4.06,91.13,3.02
Qs Ts 9h,4s4d,0.355,35.32,1.79,4.06,91.13,3.03
Qs Ts 9h,4s4h,0.355,35.47,1.53,7.42,86.46,4.60
Qs Ts 9h,5s5c,0.930,37.15,1.75,3.78,88.43,6.04
Qs Ts 9h,5s5d,0.930,37.15,1.75,3.78,88.43,6.04
Qs Ts 9h,5s5h,0.930,37.23,1.57,6.69,83.24,8.50
Qs Ts 9h,5s4s,0.095,41.89,0.52,0.80,72.50,26.18
Qs Ts 9h,6s6c,1.000,40.71,2.28,4.49,81.14,12.09
Qs Ts 9h,6s6d,1.000,40.71,2.28,4.49,81.14,12.09
Qs Ts 9h,6s6h,1.000,40.77,1.90,4.52,84.44,9.14
Qs Ts 9h,6s5s,0.205,43.24,0.46,2.39,87.31,9.84
Qs Ts 9h,7s7c,1.000,43.09,1.30,3.14,73.99,21.58
Qs Ts 9h,7s7d,1.000,43.09,1.30,3.14,73.99,21.58
Qs Ts 9h,7s7h,1.000,43.14,1.34,3.70,82.18,12.78
Qs Ts 9h,7s6s,0.165,49.89,0.53,2.41,75.21,21.84
Qs Ts 9h,8s8c,1.000,51.51,1.08,2.05,57.68,39.19
Qs Ts 9h,8s8d,1.000,51.51,1.08,2.05,57.68,39.20
Qs Ts 9h,8s8h,1.000,51.60,1.10,2.92,70.75,25.23
Qs Ts 9h,8s7s,0.180,57.13,0.63,4.17,75.70,19.50
Qs Ts 9h,9s9c,1.000,83.48,1.46,3.24,82.04,13.26
Qs Ts 9h,9s9d,1.000,83.48,1.46,3.24,82.04,13.26
Qs Ts 9h,9s7s,0.010,67.55,0.25,0.47,4.79,94.50
Qs Ts 9h,9s8s,0.375,70.89,3.09,4.66,60.36,31.89
Qs Ts 9h,JsJc,1.000,74.11,1.34,3.07,87.67,7.91
Qs Ts 9h,JsJd,1.000,74.11,1.34,3.07,87.68,7.91
Qs Ts 9h,JsJh,1.000,74.23,1.35,2.96,84.04,11.65
Qs Ts 9h,Js9s,1.000,77.24,1.33,4.45,85.49,8.73
Qs Ts 9h,KsTc,0.050,68.36,0.81,1.65,88.82,8.72
Qs Ts 9h,KsJc,0.615,90.62,2.41,4.21,87.66,5.71
Qs Ts 9h,KsQc,1.000,75.04,0.82,3.73,87.13,8.32
Qs Ts 9h,KsKc,1.000,77.09,1.48,4.59,91.87,2.05
Qs Ts 9h,KsTd,0.050,68.36,0.81,1.65,88.83,8.71
Qs Ts 9h,KsJd,0.615,90.62,2.41,4.21,87.66,5.71
Qs Ts 9h,KsQd,1.000,75.04,0.82,3.73,87.14,8.31
Qs Ts 9h,KsKd,1.000,77.09,1.48,4.60,91.87,2.05
Qs Ts 9h,KsTh,0.050,68.52,0.69,1.12,61.36,36.83
Qs Ts 9h,KsJh,0.615,90.80,2.49,3.07,86.92,7.52
Qs Ts 9h,KsQh,1.000,75.13,0.85,1.64,83.97,13.54
Qs Ts 9h,KsKh,1.000,77.25,1.34,5.21,88.61,4.84
Qs Ts 9h,Ks5s,0.205,58.48,1.83,3.16,93.05,1.96
Qs Ts 9h,Ks6s,0.465,59.34,1.54,4.64,90.15,3.68
Qs Ts 9h,Ks7s,0.585,59.62,1.70,4.50,88.62,5.19
Qs Ts 9h,Ks8s,0.790,59.72,2.86,5.41,82.01,9.72
Qs Ts 9h,Ks9s,1.000,75.71,2.49,3.94,90.16,3.40
Qs Ts 9h,KsJs,1.000,94.00,2.51,6.80,89.33,1.36
Qs Ts 9h,AsTc,0.755,63.64,1.02,2.56,77.24,19.17
Qs Ts 9h,AsJc,1.000,55.77,2.40,4.65,89.15,3.80
Qs Ts 9h,AsQc,1.000,71.21,0.77,2.55,86.92,9.76
Qs Ts 9h,AsKc,1.000,50.18,1.88,4.55,89.92,3.64
Qs Ts 9h,AsAc,1.000,70.97,1.01,3.05,88.74,7.20
Qs Ts 9h,AsTd,0.755,63.64,1.02,2.56,77.24,19.17
Qs Ts 9h,AsJd,1.000,55.77,2.40,4.65,89.15,3.80
Qs Ts 9h,AsQd,1.000,71.21,0.77,2.55,86.92,9.76
Qs Ts 9h,AsKd,1.000,50.18,1.88,4.55,89.92,3.64
Qs Ts 9h,AsAd,1.000,70.97,1.01,3.05,88.75,7.19
Qs Ts 9h,AsTh,0.755,63.81,0.93,2.41,81.27,15.39
Qs Ts 9h,AsJh,1.000,55.86,2.43,3.91,88.55,5.12
Qs Ts 9h,AsQh,1.000,71.28,0.73,2.10,86.60,10.58
Qs Ts 9h,AsKh,1.000,50.32,2.55,6.63,82.43,8.38
Qs Ts 9h,AsAh,1.000,71.13,0.80,3.43,85.83,9.93
Qs Ts 9h,As3s,1.000,55.49,1.78,4.09,87.58,6.55
Qs Ts 9h,As4s,1.000,55.62,1.76,4.28,87.91,6.05
Qs Ts 9h,As5s,1.000,55.80,1.81,4.87,87.41,5.91
Qs Ts 9h,As6s,1.000,56.64,1.91,4.81,87.03,6.25
Qs Ts 9h,As7s,1.000,56.98,1.73,5.10,85.91,7.26
Qs Ts 9h,As8s,1.000,61.67,3.63,6.39,84.30,5.69
Qs Ts 9h,As9s,1.000,72.98,1.75,3.14,82.64,12.48
Qs Ts 9h,AsJs,1.000,71.00,2.96,4.53,89.75,2.76
Qs Ts 9h,AsKs,1.000,67.90,1.35,3.27,86.97,8.41
Ts 3h 2h,5c4c,0.095,39.29,29.52,20.16,49.47,0.86
Ts 3h 2h,6c5c,0.205,28.45,1.13,7.66,55.02,36.19
Ts 3h 2h,7c6c,0.165,19.26,3.82,4.68,63.03,28.48
Ts 3h 2h,8c7c,0.180,21.97,1.81,1.93,22.95,73.30
Ts 3h 2h,9c7c,0.010,24.16,0.52,0.56,1.80,97.12
Ts 3h 2h,9c8c,0.375,26.24,2.68,5.64,29.50,62.18
Ts 3h 2h,Tc8c,0.440,69.21,1.86,7.56,43.57,47.01
Ts 3h 2h,Tc9c,1.000,70.07,7.32,12.80,54.52,25.37
Ts 3h 2h,Jc9c,1.000,30.84,7.81,9.33,48.88,33.98
Ts 3h 2h,JcTc,1.000,73.33,0.74,0.83,38.39,60.03
Ts 3h 2h,Qc8c,0.035,31.06,3.04,3.20,88.28,5.48
Ts 3h 2h,Qc9c,1.000,32.67,6.42,7.54,60.39,25.65
Ts 3h 2h,QcTc,1.000,74.39,2.41,5.51,47.53,44.54
Ts 3h 2h,QcJc,1.000,36.30,17.25,11.67,41.23,29.85
Ts 3h 2h,QcJd,0.350,36.33,18.76,12.19,41.98,27.06
Ts 3h 2h,QcJh,0.350,39.91,19.25,8.71,60.40,11.63
Ts 3h 2h,QcJs,0.350,36.51,9.47,8.81,65.06,16.66
Ts 3h 2h,Kc5c,0.205,34.37,45.18,14.93,34.21,5.68
Ts 3h 2h,Kc6c,0.465,34.26,14.29,9.78,43.64,32.29
Ts 3h 2h,Kc7c,0.585,33.73,3.85,3.86,38.70,53.60
Ts 3h 2h,Kc8c,0.790,34.38,4.18,4.21,43.25,48.35
Ts 3h 2h,Kc9c,1.000,36.27,4.16,5.73,70.76,19.36
Ts 3h 2h,KcTc,1.000,75.47,10.14,9.48,50.02,30.35
Ts 3h 2h,KcJc,1.000,40.21,16.52,10.82,53.39,19.28
Ts 3h 2h,KcQc,1.000,42.09,13.16,9.94,57.87,19.02
Ts 3h 2h,KcTd,0.050,75.44,19.50,10.77,38.08,31.65
Ts 3h 2h,KcJd,0.615,40.20,13.74,10.54,47.39,28.32
Ts 3h 2h,KcQd,1.000,42.08,12.57,9.83,58.05,19.55
Ts 3h 2h,KcTh,0.050,77.69,20.56,17.84,57.04,4.56
Ts 3h 2h,KcJh,0.615,43.71,27.19,9.64,41.28,21.88
Ts 3h 2h,KcQh,1.000,45.62,22.66,15.41,41.22,20.71
Ts 3h 2h,KcJs,0.615,40.40,10.15,7.70,72.91,9.24
Ts 3h 2h,KcQs,1.000,42.28,22.20,8.05,56.38,13.36
Ts 3h 2h,Ac3c,1.000,55.85,21.15,14.57,48.72,15.55
Ts 3h 2h,Ac4c,1.000,48.07,17.83,10.76,49.04,22.37
Ts 3h 2h,Ac5c,1.000,48.52,17.47,10.30,51.14,21.10
Ts 3h 2h,Ac6c,1.000,40.92,5.43,8.38,73.66,12.54
Ts 3h 2h,Ac7c,1.000,41.30,10.60,6.12,62.13,21.16
Ts 3h 2h,Ac8c,1.000,42.32,4.64,4.52,50.33,40.52
Ts 3h 2h,Ac9c,1.000,44.13,1.19,1.23,7.18,90.40
Ts 3h 2h,AcTc,1.000,77.65,15.65,9.29,54.93,20.14
Ts 3h 2h,AcJc,1.000,48.80,4.52,5.18,24.99,65.32
Ts 3h 2h,AcQc,1.000,50.77,3.16,3.91,45.60,47.33
Ts 3h 2h,AcKc,1.000,52.07,4.00,6.57,44.94,44.49
Ts 3h 2h,AcTd,0.755,77.64,16.20,9.36,56.98,17.46
Ts 3h 2h,AcJd,1.000,48.80,5.00,5.40,34.62,54.98
Ts 3h 2h,AcQd,1.000,50.77,3.68,4.56,47.21,44.55
Ts 3h 2h,AcKd,1.000,52.07,4.32,7.92,46.41,41.36
Ts 3h 2h,AcTh,0.755,79.90,21.00,12.82,55.31,10.87
Ts 3h 2h,AcJh,1.000,52.13,15.30,8.32,34.16,42.22
Ts 3h 2h,AcQh,1.000,54.11,8.27,7.67,40.12,43.94
Ts 3h 2h,AcKh,1.000,55.53,6.78,8.21,56.15,28.86
Ts 3h 2h,AcJs,1.000,49.01,4.93,4.68,72.22,18.16
Ts 3h 2h,AcQs,1.000,50.98,5.85,5.06,64.25,24.84
Ts 3h 2h,AcKs,1.000,52.29,7.12,5.36,51.70,35.82
Ts 3h 2h,2d2c,0.355,90.23,41.66,15.43,42.75,0.15
Ts 3h 2h,3d3c,0.325,91.04,53.60,14.90,31.42,0.09
Ts 3h 2h,4d4c,0.355,53.02,2.39,3.66,35.29,58.66
Ts 3h 2h,5d5c,0.930,54.60,3.60,7.17,44.64,44.60
Ts 3h 2h,5d4d,0.095,39.29,29.51,20.18,49.45,0.86
Ts 3h 2h,6d6c,1.000,56.22,2.57,5.21,41.39,50.83
Ts 3h 2h,6d5d,0.205,28.45,1.13,7.64,55.02,36.20
Ts 3h 2h,7d7c,1.000,57.41,1.08,1.49,50.65,46.78
Ts 3h 2h,7d6d,0.165,19.26,3.82,4.68,63.03,28.48
Ts 3h 2h,8d8c,1.000,60.01,0.68,2.34,45.64,51.34
Ts 3h 2h,8d7d,0.180,21.97,1.81,1.93,22.96,73.30
Ts 3h 2h,9d9c,1.000,62.91,0.39,0.76,24.80,74.05
Ts 3h 2h,9d7d,0.010,24.16,0.52,0.56,1.80,97.12
Ts 3h 2h,9d8d,0.375,26.24,2.68,5.64,29.49,62.18
Ts 3h 2h,TdTc,1.000,92.26,17.92,13.69,68.07,0.32
Ts 3h 2h,Td8d,0.440,69.21,1.86,7.55,43.59,47.00
Ts 3h 2h,Td9d,1.000,70.07,7.31,12.80,54.53,25.35
Ts 3h 2h,JdJc,1.000,76.70,18.08,12.63,51.95,17.34
Ts 3h 2h,Jd9d,1.000,30.84,7.81,9.33,48.88,33.98
Ts 3h 2h,JdTd,1.000,73.33,0.74,0.83,38.43,59.99
Ts 3h 2h,QdJc,0.350,36.33,18.76,12.19,41.98,27.06
Ts 3h 2h,QdQc,1.000,78.97,21.41,10.25,51.98,16.37
Ts 3h 2h,Qd8d,0.035,31.06,3.04,3.20,88.28,5.48
Ts 3h 2h,Qd9d,1.000,32.67,6.41,7.54,60.40,25.65
Ts 3h 2h,QdTd,1.000,74.39,2.41,5.50,47.53,44.55
Ts 3h 2h,QdJd,1.000,36.30,17.25,11.67,41.23,29.85
Ts 3h 2h,QdJh,0.350,39.91,19.25,8.71,60.40,11.63
Ts 3h 2h,QdJs,0.350,36.51,9.47,8.81,65.06,16.65
Ts 3h 2h,KdTc,0.050,75.44,19.51,10.77,38.08,31.64
Ts 3h 2h,KdJc,0.615,40.20,13.74,10.54,47.40,28.32
Ts 3h 2h,KdQc,1.000,42.08,12.57,9.83,58.05,19.55
Ts 3h 2h,KdKc,1.000,80.43,9.84,6.67,61.86,21.63
Ts 3h 2h,Kd5d,0.205,34.37,45.18,14.93,34.21,5.68
Ts 3h 2h,Kd6d,0.465,34.26,14.29,9.78,43.64,32.29
Ts 3h 2h,Kd7d,0.585,33.73,3.85,3.86,38.70,53.60
Ts 3h 2h,Kd8d,0.790,34.38,4.18,4.21,43.25,48.36
Ts 3h 2h,Kd9d,1.000,36.27,4.16,5.73,70.76,19.36
Ts 3h 2h,KdTd,1.000,75.47,10.14,9.48,50.02,30.35
Ts 3h 2h,KdJd,1.000,40.21,16.52,10.82,53.38,19.28
Ts 3h 2h,KdQd,1.000,42.09,13.16,9.94,57.87,19.02
Ts 3h 2h,KdTh,0.050,77.69,20.57,17.84,57.03,4.56
Ts 3h 2h,KdJh,0.615,43.71,27.19,9.64,41.28,21.88
Ts 3h 2h,KdQh,1.000,45.62,22.66,15.41,41.22,20.71
Ts 3h 2h,KdJs,0.615,40.40,10.15,7.70,72.91,9.24
Ts 3h 2h,KdQs,1.000,42.28,22.20,8.05,56.39,13.36
Ts 3h 2h,AdTc,0.755,77.64,16.20,9.36,56.98,17.46
Ts 3h 2h,AdJc,1.000,48.80,5.00,5.40,34.62,54.98
Ts 3h 2h,AdQc,1.000,50.77,3.68,4.56,47.20,44.55
Ts 3h 2h,AdKc,1.000,52.07,4.32,7.92,46.42,41.35
Ts 3h 2h,AdAc,1.000,82.94,12.20,6.40,51.95,29.45
Ts 3h 2h,Ad3d,1.000,55.85,21.15,14.57,48.72,15.55
Ts 3h 2h,Ad4d,1.000,48.07,17.84,10.76,49.04,22.37
Ts 3h 2h,Ad5d,1.000,48.52,17.47,10.30,51.14,21.10
Ts 3h 2h,Ad6d,1.000,40.92,5.43,8.38,73.66,12.53
Ts 3h 2h,Ad7d,1.000,41.30,10.60,6.12,62.12,21.16
Ts 3h 2h,Ad8d,1.000,42.32,4.64,4.52,50.33,40.52
Ts 3h 2h,Ad9d,1.000,44.13,1.19,1.23,7.18,90.40
Ts 3h 2h,AdTd,1.000,77.65,15.66,9.29,54.92,20.14
Ts 3h 2h,AdJd,1.000,48.80,4.52,5.18,24.99,65.32
Ts 3h 2h,AdQd,1.000,50.77,3.16,3.91,45.60,47.33
Ts 3h 2h,AdKd,1.000,52.07,4.00,6.57,44.93,44.50
Ts 3h 2h,AdTh,0.755,79.90,21.00,12.82,55.31,10.87
Ts 3h 2h,AdJh,1.000,52.13,15.30,8.32,34.16,42.22
Ts 3h 2h,AdQh,1.000,54.11,8.27,7.67,40.11,43.95
Ts 3h 2h,AdKh,1.000,55.53,6.78,8.21,56.15,28.86
Ts 3h 2h,AdJs,1.000,49.01,4.94,4.68,72.22,18.17
