Flop,Hand,Weight OOP,OOP Equity
Ks Th 7s,AcQs,1.000,44.49
Ks Th 7s,2d2c,1.000,25.65
Ks Th 7s,3d3c,1.000,26.12
Ks Th 7s,3d2d,1.000,7.58
Ks Th 7s,4d4c,1.000,27.11
Ks Th 7s,4d2d,1.000,7.67
Ks Th 7s,4d3d,1.000,9.04
Ks Th 7s,5d4c,0.290,10.55
Ks Th 7s,5d5c,1.000,28.55
Ks Th 7s,5d2d,1.000,7.82
Ks Th 7s,5d3d,1.000,9.19
Ks Th 7s,5d4d,0.700,10.57
Ks Th 7s,5d4h,0.290,10.61
Ks Th 7s,5d4s,0.290,13.55
Ks Th 7s,6d5c,0.495,12.14
Ks Th 7s,6d6c,1.000,32.05
Ks Th 7s,6d3d,1.000,10.53
Ks Th 7s,6d4d,1.000,12.07
Ks Th 7s,6d5d,0.475,12.18
Ks Th 7s,6d5h,0.495,12.20
Ks Th 7s,6d5s,0.495,15.15
Ks Th 7s,7d6c,0.500,39.36
Ks Th 7s,7d7c,1.000,85.27
Ks Th 7s,7d3d,0.095,39.23
Ks Th 7s,7d4d,1.000,39.18
Ks Th 7s,7d5d,1.000,38.71
Ks Th 7s,7d6d,0.580,39.37
Ks Th 7s,7d6h,0.500,39.45
Ks Th 7s,7d6s,0.500,42.19
Ks Th 7s,8d6c,0.115,23.57
Ks Th 7s,8d7c,0.605,41.38
Ks Th 7s,8d8c,1.000,38.18
Ks Th 7s,8d4d,0.605,12.35
Ks Th 7s,8d5d,1.000,12.41
Ks Th 7s,8d6d,1.000,23.57
Ks Th 7s,8d7d,0.550,41.39
Ks Th 7s,8d6h,0.115,23.64
Ks Th 7s,8d7h,0.605,41.46
Ks Th 7s,8d6s,0.115,26.27
Ks Th 7s,9d7c,0.155,42.08
Ks Th 7s,9d8c,0.515,34.25
Ks Th 7s,9d9c,1.000,41.83
Ks Th 7s,9d2d,0.280,11.78
Ks Th 7s,9d3d,0.265,11.70
Ks Th 7s,9d5d,1.000,11.84
Ks Th 7s,9d6d,1.000,23.51
Ks Th 7s,9d7d,1.000,42.08
Ks Th 7s,9d8d,0.775,34.28
Ks Th 7s,9d7h,0.155,42.16
Ks Th 7s,9d8h,0.515,34.32
Ks Th 7s,9d8s,0.515,36.70
Ks Th 7s,Td8c,0.230,47.63
Ks Th 7s,Td9c,0.845,48.26
Ks Th 7s,TdTc,0.965,87.10
Ks Th 7s,Td3d,0.265,46.50
Ks Th 7s,Td4d,0.415,46.46
Ks Th 7s,Td5d,0.530,46.06
Ks Th 7s,Td6d,1.000,46.72
Ks Th 7s,Td7d,1.000,73.25
Ks Th 7s,Td8d,1.000,47.64
Ks Th 7s,Td9d,0.620,48.27
Ks Th 7s,Td8h,0.230,47.73
Ks Th 7s,Td9h,0.845,48.39
Ks Th 7s,Td8s,0.230,49.96
Ks Th 7s,Td9s,0.845,50.80
Ks Th 7s,Jd9c,0.190,35.34
Ks Th 7s,JdTc,1.000,51.12
Ks Th 7s,JdJc,0.870,53.37
Ks Th 7s,Jd2d,0.470,12.44
Ks Th 7s,Jd3d,0.700,12.37
Ks Th 7s,Jd4d,1.000,12.48
Ks Th 7s,Jd5d,1.000,12.53
Ks Th 7s,Jd6d,1.000,12.85
Ks Th 7s,Jd7d,1.000,42.99
Ks Th 7s,Jd8d,0.980,24.48
Ks Th 7s,Jd9d,0.950,35.42
Ks Th 7s,JdTd,0.655,51.11
Ks Th 7s,Jd9h,0.190,35.46
Ks Th 7s,Jd9s,0.190,38.01
Ks Th 7s,JdTs,1.000,53.65
Ks Th 7s,QdTc,1.000,50.87
Ks Th 7s,QdJc,1.000,38.38
Ks Th 7s,QdQc,0.345,56.79
Ks Th 7s,Qd2d,1.000,12.42
Ks Th 7s,Qd3d,1.000,12.35
Ks Th 7s,Qd4d,1.000,12.46
Ks Th 7s,Qd5d,1.000,12.53
Ks Th 7s,Qd6d,0.925,13.89
Ks Th 7s,Qd7d,1.000,42.20
Ks Th 7s,Qd8d,0.880,14.70
Ks Th 7s,Qd9d,0.875,25.31
Ks Th 7s,QdTd,0.655,50.87
Ks Th 7s,QdJd,0.350,38.43
Ks Th 7s,QdJh,1.000,38.49
Ks Th 7s,QdTs,1.000,53.52
Ks Th 7s,QdJs,1.000,41.23
Ks Th 7s,Kd9c,0.320,62.97
Ks Th 7s,KdTc,1.000,79.66
Ks Th 7s,KdJc,0.830,65.60
Ks Th 7s,KdQc,0.760,67.73
Ks Th 7s,Kd2d,1.000,60.64
Ks Th 7s,Kd3d,0.900,60.50
Ks Th 7s,Kd4d,0.690,60.47
Ks Th 7s,Kd5d,0.880,60.20
Ks Th 7s,Kd6d,0.935,60.75
Ks Th 7s,Kd7d,0.860,76.34
Ks Th 7s,Kd8d,1.000,61.93
Ks Th 7s,Kd9d,0.990,62.90
Ks Th 7s,KdTd,0.600,79.50
Ks Th 7s,KdJd,0.900,65.57
Ks Th 7s,KdQd,0.830,67.73
Ks Th 7s,Kd9h,0.320,63.26
Ks Th 7s,KdJh,0.830,65.86
Ks Th 7s,KdQh,0.760,68.00
Ks Th 7s,Kd9s,0.320,65.50
Ks Th 7s,KdTs,1.000,81.37
Ks Th 7s,KdJs,0.830,68.16
Ks Th 7s,KdQs,0.760,70.54
Ks Th 7s,Ad5c,0.430,17.29
Ks Th 7s,Ad8c,0.465,21.93
Ks Th 7s,Ad9c,0.980,23.36
Ks Th 7s,AdTc,0.860,52.13
Ks Th 7s,AdJc,0.995,36.94
Ks Th 7s,AdQc,1.000,41.23
Ks Th 7s,AdKc,0.425,73.85
Ks Th 7s,Ad2d,0.680,17.04
Ks Th 7s,Ad3d,0.755,17.20
Ks Th 7s,Ad4d,0.835,17.32
Ks Th 7s,Ad5d,0.810,17.48
Ks Th 7s,Ad6d,1.000,18.98
Ks Th 7s,Ad7d,0.970,41.83
Ks Th 7s,Ad8d,0.940,22.09
Ks Th 7s,Ad9d,0.925,23.52
Ks Th 7s,AdTd,0.825,52.13
Ks Th 7s,AdJd,0.745,36.94
Ks Th 7s,AdQd,0.475,41.23
Ks Th 7s,Ad5h,0.430,17.37
Ks Th 7s,Ad8h,0.465,21.99
Ks Th 7s,Ad9h,0.980,23.42
Ks Th 7s,AdJh,0.995,36.99
Ks Th 7s,AdQh,1.000,41.26
Ks Th 7s,AdKh,0.425,73.70
Ks Th 7s,Ad5s,0.430,20.17
Ks Th 7s,Ad8s,0.465,24.75
Ks Th 7s,Ad9s,0.980,26.48
Ks Th 7s,AdTs,0.860,54.98
Ks Th 7s,AdJs,0.995,39.94
Ks Th 7s,AdQs,1.000,44.49
Ks Th 7s,2h2c,1.000,25.72
Ks Th 7s,2h2d,1.000,25.72
Ks Th 7s,3h3c,1.000,26.21
Ks Th 7s,3h3d,1.000,26.21
Ks Th 7s,3h2h,1.000,11.40
Ks Th 7s,4h4c,1.000,27.20
Ks Th 7s,4h4d,1.000,27.20
Ks Th 7s,4h2h,1.000,11.50
Ks Th 7s,4h3h,1.000,12.79
Ks Th 7s,5h4c,0.290,10.61
Ks Th 7s,5h5c,1.000,28.64
Ks Th 7s,5h4d,0.290,10.61
Ks Th 7s,5h5d,1.000,28.64
Ks Th 7s,5h2h,1.000,11.65
Ks Th 7s,5h3h,1.000,12.96
Ks Th 7s,5h4h,0.700,14.26
Ks Th 7s,5h4s,0.290,13.61
Ks Th 7s,6h5c,0.495,12.20
Ks Th 7s,6h6c,1.000,32.14
Ks Th 7s,6h5d,0.495,12.20
Ks Th 7s,6h6d,1.000,32.14
Ks Th 7s,6h3h,1.000,14.24
Ks Th 7s,6h4h,1.000,15.69
Ks Th 7s,6h5h,0.475,15.81
Ks Th 7s,6h5s,0.495,15.21
Ks Th 7s,7h6c,0.500,39.43
Ks Th 7s,7h7c,1.000,85.31
Ks Th 7s,7h6d,0.500,39.43
Ks Th 7s,7h7d,1.000,85.31
Ks Th 7s,7h3h,0.095,42.15
Ks Th 7s,7h4h,1.000,42.11
Ks Th 7s,7h5h,1.000,41.67
Ks Th 7s,7h6h,0.580,42.27
Ks Th 7s,7h6s,0.500,42.27
Ks Th 7s,8h6c,0.115,23.62
Ks Th 7s,8h7c,0.605,41.40
Ks Th 7s,8h8c,1.000,38.19
Ks Th 7s,8h6d,0.115,23.62
Ks Th 7s,8h7d,0.605,41.40
Ks Th 7s,8h8d,1.000,38.19
Ks Th 7s,8h4h,0.605,15.98
Ks Th 7s,8h5h,1.000,16.04
Ks Th 7s,8h6h,1.000,26.68
Ks Th 7s,8h7h,0.550,44.10
Ks Th 7s,8h6s,0.115,26.32
Ks Th 7s,9h7c,0.155,42.03
Ks Th 7s,9h8c,0.515,34.31
Ks Th 7s,9h9c,1.000,41.75
Ks Th 7s,9h7d,0.155,42.03
Ks Th 7s,9h8d,0.515,34.31
Ks Th 7s,9h9d,1.000,41.75
Ks Th 7s,9h2h,0.280,15.42
Ks Th 7s,9h3h,0.265,15.36
Ks Th 7s,9h5h,1.000,15.52
Ks Th 7s,9h6h,1.000,26.64
Ks Th 7s,9h7h,1.000,44.68
Ks Th 7s,9h8h,0.775,36.94
Ks Th 7s,9h8s,0.515,36.76
Ks Th 7s,Jh9c,0.190,35.39
Ks Th 7s,JhTc,1.000,51.21
Ks Th 7s,JhJc,0.870,53.68
Ks Th 7s,Jh9d,0.190,35.39
Ks Th 7s,JhTd,1.000,51.21
Ks Th 7s,JhJd,0.870,53.68
Ks Th 7s,Jh2h,0.470,16.04
Ks Th 7s,Jh3h,0.700,15.98
Ks Th 7s,Jh4h,1.000,16.10
Ks Th 7s,Jh5h,1.000,16.15
Ks Th 7s,Jh6h,1.000,16.47
Ks Th 7s,Jh7h,1.000,45.46
Ks Th 7s,Jh8h,0.980,27.58
Ks Th 7s,Jh9h,0.950,38.04
Ks Th 7s,Jh9s,0.190,38.06
Ks Th 7s,JhTs,1.000,53.74
Ks Th 7s,QhTc,1.000,50.98
Ks Th 7s,QhJc,1.000,38.49
Ks Th 7s,QhQc,0.345,57.09
Ks Th 7s,QhTd,1.000,50.98
Ks Th 7s,QhJd,1.000,38.49
Ks Th 7s,QhQd,0.345,57.09
Ks Th 7s,Qh2h,1.000,16.08
Ks Th 7s,Qh3h,1.000,16.03
Ks Th 7s,Qh4h,1.000,16.14
Ks Th 7s,Qh5h,1.000,16.21
Ks Th 7s,Qh6h,0.925,17.51
Ks Th 7s,Qh7h,1.000,44.75
Ks Th 7s,Qh8h,0.880,18.31
Ks Th 7s,Qh9h,0.875,28.43
Ks Th 7s,QhJh,0.350,40.98
Ks Th 7s,QhTs,1.000,53.62
Ks Th 7s,QhJs,1.000,41.34
Ks Th 7s,Kh9c,0.320,62.79
Ks Th 7s,KhTc,1.000,79.66
Ks Th 7s,KhJc,0.830,65.49
Ks Th 7s,KhQc,0.760,67.62
Ks Th 7s,Kh9d,0.320,62.79
Ks Th 7s,KhTd,1.000,79.66
Ks Th 7s,KhJd,0.830,65.49
Ks Th 7s,KhQd,0.760,67.62
Ks Th 7s,Kh2h,1.000,62.23
Ks Th 7s,Kh3h,0.900,62.11
Ks Th 7s,Kh4h,0.690,62.08
Ks Th 7s,Kh5h,0.880,61.82
Ks Th 7s,Kh6h,0.935,62.32
Ks Th 7s,Kh7h,0.860,77.05
Ks Th 7s,Kh8h,1.000,63.50
Ks Th 7s,Kh9h,0.990,64.48
Ks Th 7s,KhJh,0.900,67.02
Ks Th 7s,KhQh,0.830,69.10
Ks Th 7s,Kh9s,0.320,65.32
Ks Th 7s,KhTs,1.000,81.37
Ks Th 7s,KhJs,0.830,68.05
Ks Th 7s,KhQs,0.760,70.43
Ks Th 7s,Ah5c,0.430,17.39
Ks Th 7s,Ah8c,0.465,22.07
Ks Th 7s,Ah9c,0.980,23.52
Ks Th 7s,AhTc,0.860,52.40
Ks Th 7s,AhJc,0.995,37.16
Ks Th 7s,AhQc,1.000,41.46
Ks Th 7s,AhKc,0.425,74.16
Ks Th 7s,Ah5d,0.430,17.39
Ks Th 7s,Ah8d,0.465,22.07
Ks Th 7s,Ah9d,0.980,23.52
Ks Th 7s,AhTd,0.860,52.40
Ks Th 7s,AhJd,0.995,37.16
Ks Th 7s,AhQd,1.000,41.46
Ks Th 7s,AhKd,0.425,74.16
Ks Th 7s,Ah2h,0.680,20.86
Ks Th 7s,Ah3h,0.755,21.00
Ks Th 7s,Ah4h,0.835,21.12
Ks Th 7s,Ah5h,0.810,21.29
Ks Th 7s,Ah6h,1.000,22.71
Ks Th 7s,Ah7h,0.970,44.79
Ks Th 7s,Ah8h,0.940,25.68
Ks Th 7s,Ah9h,0.925,27.02
Ks Th 7s,AhJh,0.745,39.84
Ks Th 7s,AhQh,0.475,43.94
Ks Th 7s,Ah5s,0.430,20.28
Ks Th 7s,Ah8s,0.465,24.90
Ks Th 7s,Ah9s,0.980,26.64
Ks Th 7s,AhTs,0.860,55.25
Ks Th 7s,AhJs,0.995,40.16
Ks Th 7s,AhQs,1.000,44.72
Ks Th 7s,2s2c,1.000,28.47
Ks Th 7s,2s2d,1.000,28.47
Ks Th 7s,2s2h,1.000,28.54
Ks Th 7s,3s3c,1.000,29.09
Ks Th 7s,3s3d,1.000,29.09
Ks Th 7s,3s3h,1.000,29.18
Ks Th 7s,3s2s,1.000,37.67
Ks Th 7s,4s4c,1.000,30.08
Ks Th 7s,4s4d,1.000,30.08
Ks Th 7s,4s4h,1.000,30.17
Ks Th 7s,4s2s,1.000,37.78
Ks Th 7s,4s3s,1.000,38.74
Ks Th 7s,5s4c,0.290,13.61
Ks Th 7s,5s5c,1.000,31.53
Ks Th 7s,5s4d,0.290,13.61
Ks Th 7s,5s5d,1.000,31.53
Ks Th 7s,5s4h,0.290,13.66
Ks Th 7s,5s5h,1.000,31.62
Ks Th 7s,5s2s,1.000,37.96
Ks Th 7s,5s3s,1.000,38.92
Ks Th 7s,5s4s,0.700,39.78
Ks Th 7s,6s5c,0.495,15.16
Ks Th 7s,6s6c,1.000,34.87
Ks Th 7s,6s5d,0.495,15.16
Ks Th 7s,6s6d,1.000,34.87
Ks Th 7s,6s5h,0.495,15.22
Ks Th 7s,6s6h,1.000,34.96
Ks Th 7s,6s3s,1.000,39.79
Ks Th 7s,6s4s,1.000,40.74
Ks Th 7s,6s5s,0.475,40.85
Ks Th 7s,8s6c,0.115,26.28
Ks Th 7s,8s7c,0.605,44.11
Ks Th 7s,8s8c,1.000,40.85
Ks Th 7s,8s6d,0.115,26.28
Ks Th 7s,8s7d,0.605,44.11
Ks Th 7s,8s8d,1.000,40.85
Ks Th 7s,8s6h,0.115,26.34
Ks Th 7s,8s7h,0.605,44.19
Ks Th 7s,8s8h,1.000,40.87
Ks Th 7s,8s4s,0.605,41.10
Ks Th 7s,8s5s,1.000,41.18
Ks Th 7s,8s6s,1.000,48.25
Ks Th 7s,9s7c,0.155,45.00
Ks Th 7s,9s8c,0.515,36.84
Ks Th 7s,9s9c,1.000,44.58
Ks Th 7s,9s7d,0.155,45.00
Ks Th 7s,9s8d,0.515,36.84
Ks Th 7s,9s9d,1.000,44.58
Ks Th 7s,9s7h,0.155,45.08
Ks Th 7s,9s8h,0.515,36.91
Ks Th 7s,9s9h,1.000,44.51
Ks Th 7s,9s2s,0.280,40.98
Ks Th 7s,9s3s,0.265,41.07
Ks Th 7s,9s5s,1.000,41.23
Ks Th 7s,9s6s,1.000,48.62
Ks Th 7s,9s8s,0.775,55.56
Ks Th 7s,Ts8c,0.230,50.07
Ks Th 7s,Ts9c,0.845,50.75
Ks Th 7s,TsTc,0.965,88.53
Ks Th 7s,Ts8d,0.230,50.07
Ks Th 7s,Ts9d,0.845,50.75
Ks Th 7s,TsTd,0.965,88.53
Ks Th 7s,Ts8h,0.230,50.17
Ks Th 7s,Ts9h,0.845,50.88
Ks Th 7s,Ts3s,0.265,65.84
Ks Th 7s,Ts4s,0.415,65.81
Ks Th 7s,Ts5s,0.530,65.52
Ks Th 7s,Ts6s,1.000,65.85
Ks Th 7s,Ts8s,1.000,66.31
Ks Th 7s,Ts9s,0.620,66.91
Ks Th 7s,Js9c,0.190,38.13
Ks Th 7s,JsTc,1.000,53.76
Ks Th 7s,JsJc,0.870,56.22
Ks Th 7s,Js9d,0.190,38.13
Ks Th 7s,JsTd,1.000,53.76
Ks Th 7s,JsJd,0.870,56.22
Ks Th 7s,Js9h,0.190,38.26
Ks Th 7s,JsJh,0.870,56.51
Ks Th 7s,Js2s,0.470,41.83
Ks Th 7s,Js3s,0.700,41.92
Ks Th 7s,Js4s,1.000,42.02
Ks Th 7s,Js5s,1.000,42.07
Ks Th 7s,Js6s,1.000,42.30
Ks Th 7s,Js8s,0.980,49.66
Ks Th 7s,Js9s,0.950,56.69
Ks Th 7s,JsTs,0.655,68.68
Ks Th 7s,QsTc,1.000,53.92
Ks Th 7s,QsJc,1.000,41.53
Ks Th 7s,QsQc,0.345,59.96
Ks Th 7s,QsTd,1.000,53.92
Ks Th 7s,QsJd,1.000,41.53
Ks Th 7s,QsQd,0.345,59.96
Ks Th 7s,QsJh,1.000,41.63
Ks Th 7s,QsQh,0.345,60.25
Ks Th 7s,Qs2s,1.000,42.51
Ks Th 7s,Qs3s,1.000,42.61
Ks Th 7s,Qs4s,1.000,42.71
Ks Th 7s,Qs5s,1.000,42.78
Ks Th 7s,Qs6s,0.925,43.62
Ks Th 7s,Qs8s,0.880,44.16
Ks Th 7s,Qs9s,0.875,50.83
Ks Th 7s,QsTs,0.655,69.07
Ks Th 7s,QsJs,0.350,59.19
Ks Th 7s,As5c,0.430,21.84
Ks Th 7s,As8c,0.465,26.58
Ks Th 7s,As9c,0.980,28.07
Ks Th 7s,AsTc,0.860,56.81
Ks Th 7s,AsJc,0.995,41.52
Ks Th 7s,AsQc,1.000,45.85
Ks Th 7s,AsKc,0.425,78.03
Ks Th 7s,As5d,0.430,21.84
Ks Th 7s,As8d,0.465,26.58
Ks Th 7s,As9d,0.980,28.07
Ks Th 7s,AsTd,0.860,56.81
Ks Th 7s,AsJd,0.995,41.52
Ks Th 7s,AsQd,1.000,45.85
Ks Th 7s,AsKd,0.425,78.03
Ks Th 7s,As5h,0.430,21.91
Ks Th 7s,As8h,0.465,26.64
Ks Th 7s,As9h,0.980,28.13
Ks Th 7s,AsJh,0.995,41.57
Ks Th 7s,AsQh,1.000,45.88
Ks Th 7s,AsKh,0.425,77.88
Ks Th 7s,As2s,0.680,47.46
Ks Th 7s,As3s,0.755,47.54
Ks Th 7s,As4s,0.835,47.64
Ks Th 7s,As5s,0.810,47.80
Ks Th 7s,As6s,1.000,48.73
Ks Th 7s,As8s,0.940,50.82
Ks Th 7s,As9s,0.925,51.81
Ks Th 7s,AsTs,0.825,71.91
Ks Th 7s,AsJs,0.745,60.57
Ks Th 7s,AsQs,0.475,63.57
Ks Ts 5h,3c2c,1.000,10.24
Ks Ts 5h,4c2c,1.000,10.36
Ks Ts 5h,4c3c,1.000,11.74
Ks Ts 5h,5c2c,1.000,35.33
Ks Ts 5h,5c3c,1.000,35.08
Ks Ts 5h,5c4c,0.700,35.06
Ks Ts 5h,5c4d,0.290,35.06
Ks Ts 5h,5c4h,0.290,35.17
Ks Ts 5h,5c4s,0.290,37.71
Ks Ts 5h,6c3c,1.000,10.83
Ks Ts 5h,6c4c,1.000,12.38
Ks Ts 5h,6c5c,0.475,35.66
Ks Ts 5h,6c5d,0.495,35.65
Ks Ts 5h,6c5s,0.495,38.22
Ks Ts 5h,7c3c,0.095,9.71
Ks Ts 5h,7c4c,1.000,11.29
Ks Ts 5h,7c5c,1.000,35.75
Ks Ts 5h,7c6c,0.580,12.99
Ks Ts 5h,7c6d,0.500,12.96
Ks Ts 5h,7c6h,0.500,13.03
Ks Ts 5h,7c6s,0.500,16.10
Ks Ts 5h,8c4c,0.605,10.30
Ks Ts 5h,8c5c,1.000,35.82
Ks Ts 5h,8c6c,1.000,11.95
Ks Ts 5h,8c7c,0.550,13.38
Ks Ts 5h,8c6d,0.115,11.95
Ks Ts 5h,8c7d,0.605,13.34
Ks Ts 5h,8c6h,0.115,12.01
Ks Ts 5h,8c7h,0.605,13.41
Ks Ts 5h,8c6s,0.115,15.14
Ks Ts 5h,8c7s,0.605,16.56
Ks Ts 5h,9c2c,0.280,9.49
Ks Ts 5h,9c3c,0.265,9.43
Ks Ts 5h,9c5c,1.000,36.33
Ks Ts 5h,9c6c,1.000,11.23
Ks Ts 5h,9c7c,1.000,12.83
Ks Ts 5h,9c8c,0.775,13.36
Ks Ts 5h,9c7d,0.155,12.83
Ks Ts 5h,9c8d,0.515,13.29
Ks Ts 5h,9c7h,0.155,12.89
Ks Ts 5h,9c8h,0.515,13.36
Ks Ts 5h,9c7s,0.155,16.07
Ks Ts 5h,9c8s,0.515,16.59
Ks Ts 5h,Tc3c,0.265,47.51
Ks Ts 5h,Tc4c,0.415,47.49
Ks Ts 5h,Tc5c,0.530,74.81
Ks Ts 5h,Tc6c,1.000,47.11
Ks Ts 5h,Tc7c,1.000,47.10
Ks Ts 5h,Tc8c,1.000,47.16
Ks Ts 5h,Tc9c,0.620,47.64
Ks Ts 5h,Tc8d,0.230,47.15
Ks Ts 5h,Tc9d,0.845,47.63
Ks Ts 5h,Tc8h,0.230,47.28
Ks Ts 5h,Tc9h,0.845,47.78
Ks Ts 5h,Tc8s,0.230,49.93
Ks Ts 5h,Tc9s,0.845,50.59
Ks Ts 5h,Jc2c,0.470,11.50
Ks Ts 5h,Jc3c,0.700,11.44
Ks Ts 5h,Jc4c,1.000,11.57
Ks Ts 5h,Jc5c,1.000,37.97
Ks Ts 5h,Jc6c,1.000,11.84
Ks Ts 5h,Jc7c,1.000,13.58
Ks Ts 5h,Jc8c,0.980,13.92
Ks Ts 5h,Jc9c,0.950,24.47
Ks Ts 5h,JcTc,0.655,51.43
Ks Ts 5h,Jc9d,0.190,24.33
Ks Ts 5h,JcTd,1.000,51.44
Ks Ts 5h,Jc9h,0.190,24.42
Ks Ts 5h,JcTh,1.000,51.57
Ks Ts 5h,Jc9s,0.190,27.41
Ks Ts 5h,Qc2c,1.000,12.79
Ks Ts 5h,Qc3c,1.000,12.74
Ks Ts 5h,Qc4c,1.000,12.87
Ks Ts 5h,Qc5c,1.000,38.03
Ks Ts 5h,Qc6c,0.925,13.16
Ks Ts 5h,Qc7c,1.000,13.54
Ks Ts 5h,Qc8c,0.880,13.90
Ks Ts 5h,Qc9c,0.875,24.55
Ks Ts 5h,QcTc,0.655,52.15
Ks Ts 5h,QcJc,0.350,39.12
Ks Ts 5h,QcTd,1.000,52.16
Ks Ts 5h,QcJd,1.000,39.08
Ks Ts 5h,QcTh,1.000,52.32
Ks Ts 5h,QcJh,1.000,39.20
Ks Ts 5h,QcJs,1.000,41.82
Ks Ts 5h,Kc2c,1.000,62.17
Ks Ts 5h,Kc3c,0.900,62.04
Ks Ts 5h,Kc4c,0.690,62.03
Ks Ts 5h,Kc5c,0.880,77.86
Ks Ts 5h,Kc6c,0.935,61.95
Ks Ts 5h,Kc7c,0.860,62.14
Ks Ts 5h,Kc8c,1.000,62.45
Ks Ts 5h,Kc9c,0.990,63.43
Ks Ts 5h,KcTc,0.600,80.94
Ks Ts 5h,KcJc,0.900,66.68
Ks Ts 5h,KcQc,0.830,69.62
Ks Ts 5h,Kc9d,0.320,63.51
Ks Ts 5h,KcTd,1.000,81.11
Ks Ts 5h,KcJd,0.830,66.72
Ks Ts 5h,KcQd,0.760,69.62
Ks Ts 5h,Kc9h,0.320,63.69
Ks Ts 5h,KcTh,1.000,81.21
Ks Ts 5h,KcJh,0.830,66.89
Ks Ts 5h,KcQh,0.760,69.79
Ks Ts 5h,Kc9s,0.320,66.08
Ks Ts 5h,KcJs,0.830,69.13
Ks Ts 5h,KcQs,0.760,72.16
Ks Ts 5h,Ac2c,0.680,18.47
Ks Ts 5h,Ac3c,0.755,18.62
Ks Ts 5h,Ac4c,0.835,18.76
Ks Ts 5h,Ac5c,0.810,37.33
Ks Ts 5h,Ac6c,1.000,18.25
Ks Ts 5h,Ac7c,0.970,19.29
Ks Ts 5h,Ac8c,0.940,20.48
Ks Ts 5h,Ac9c,0.925,21.85
Ks Ts 5h,AcTc,0.825,53.66
Ks Ts 5h,AcJc,0.745,36.53
Ks Ts 5h,AcQc,0.475,41.86
Ks Ts 5h,Ac5d,0.430,37.25
Ks Ts 5h,Ac8d,0.465,20.31
Ks Ts 5h,Ac9d,0.980,21.68
Ks Ts 5h,AcTd,0.860,53.66
Ks Ts 5h,AcJd,0.995,36.53
Ks Ts 5h,AcQd,1.000,41.86
Ks Ts 5h,AcKd,0.425,75.85
Ks Ts 5h,Ac8h,0.465,20.39
Ks Ts 5h,Ac9h,0.980,21.80
Ks Ts 5h,AcTh,0.860,53.85
Ks Ts 5h,AcJh,0.995,36.67
Ks Ts 5h,AcQh,1.000,42.00
Ks Ts 5h,AcKh,0.425,76.02
Ks Ts 5h,Ac5s,0.430,39.87
Ks Ts 5h,Ac8s,0.465,23.43
Ks Ts 5h,Ac9s,0.980,25.04
Ks Ts 5h,AcJs,0.995,39.48
Ks Ts 5h,AcQs,1.000,44.92
Ks Ts 5h,2d2c,1.000,26.23
Ks Ts 5h,3d3c,1.000,26.70
Ks Ts 5h,3d2d,1.000,10.24
Ks Ts 5h,4d4c,1.000,27.74
Ks Ts 5h,4d2d,1.000,10.36
Ks Ts 5h,4d3d,1.000,11.74
Ks Ts 5h,5d4c,0.290,35.06
Ks Ts 5h,5d5c,1.000,86.28
Ks Ts 5h,5d2d,1.000,35.33
Ks Ts 5h,5d3d,1.000,35.08
Ks Ts 5h,5d4d,0.700,35.06
Ks Ts 5h,5d4h,0.290,35.17
Ks Ts 5h,5d4s,0.290,37.71
Ks Ts 5h,6d5c,0.495,35.65
Ks Ts 5h,6d6c,1.000,31.19
Ks Ts 5h,6d3d,1.000,10.83
Ks Ts 5h,6d4d,1.000,12.38
Ks Ts 5h,6d5d,0.475,35.66
Ks Ts 5h,6d5s,0.495,38.22
Ks Ts 5h,7d6c,0.500,12.96
Ks Ts 5h,7d7c,1.000,34.05
Ks Ts 5h,7d3d,0.095,9.71
Ks Ts 5h,7d4d,1.000,11.29
Ks Ts 5h,7d5d,1.000,35.75
Ks Ts 5h,7d6d,0.580,12.99
Ks Ts 5h,7d6h,0.500,13.03
Ks Ts 5h,7d6s,0.500,16.10
Ks Ts 5h,8d6c,0.115,11.95
Ks Ts 5h,8d7c,0.605,13.34
Ks Ts 5h,8d8c,1.000,37.01
Ks Ts 5h,8d4d,0.605,10.30
Ks Ts 5h,8d5d,1.000,35.82
Ks Ts 5h,8d6d,1.000,11.95
Ks Ts 5h,8d7d,0.550,13.38
Ks Ts 5h,8d6h,0.115,12.01
Ks Ts 5h,8d7h,0.605,13.41
Ks Ts 5h,8d6s,0.115,15.14
Ks Ts 5h,8d7s,0.605,16.56
Ks Ts 5h,9d7c,0.155,12.83
Ks Ts 5h,9d8c,0.515,13.29
Ks Ts 5h,9d9c,1.000,40.53
Ks Ts 5h,9d2d,0.280,9.49
Ks Ts 5h,9d3d,0.265,9.43
Ks Ts 5h,9d5d,1.000,36.33
Ks Ts 5h,9d6d,1.000,11.23
Ks Ts 5h,9d7d,1.000,12.83
Ks Ts 5h,9d8d,0.775,13.36
Ks Ts 5h,9d7h,0.155,12.89
Ks Ts 5h,9d8h,0.515,13.36
Ks Ts 5h,9d7s,0.155,16.07
Ks Ts 5h,9d8s,0.515,16.59
Ks Ts 5h,Td8c,0.230,47.15
Ks Ts 5h,Td9c,0.845,47.63
Ks Ts 5h,TdTc,0.965,88.67
Ks Ts 5h,Td3d,0.265,47.51
Ks Ts 5h,Td4d,0.415,47.49
Ks Ts 5h,Td5d,0.530,74.81
Ks Ts 5h,Td6d,1.000,47.11
Ks Ts 5h,Td7d,1.000,47.10
